award,category,film,href,name,winner,year
Oscar,Actor,Arthur,/wiki/Arthur_(1981_film),Dudley Moore,0,1981
Oscar,Actor,Absence of Malice,/wiki/Absence_of_Malice,Paul Newman,0,1981
Oscar,Actor,Gandhi,/wiki/Gandhi_(film),Ben Kingsley,1,1982
Oscar,Actor,Tootsie,/wiki/Tootsie,Dustin Hoffman,0,1982
Oscar,Actor,Missing,/wiki/Missing_(film),Jack Lemmon,0,1982
Oscar,Actor,The Verdict,/wiki/The_Verdict,Paul Newman,0,1982
Oscar,Actor,My Favorite Year,/wiki/My_Favorite_Year,Peter O'Toole,0,1982
Oscar,Actor,Tender Mercies,/wiki/Tender_Mercies,Robert Duvall,1,1983
Oscar,Actor,Educating Rita,/wiki/Educating_Rita_(film),Michael Caine,0,1983
Oscar,Actor,"Reuben, Reuben","/wiki/Reuben,_Reuben",Tom Conti,0,1983
Oscar,Actor,The Dresser,/wiki/The_Dresser_(1983_film),Tom Courtenay,0,1983
Oscar,Actor,The Dresser,/wiki/The_Dresser_(1983_film),Albert Finney,0,1983
Oscar,Actor,Amadeus,/wiki/Amadeus_(film),F. Murray Abraham,1,1984
Oscar,Actor,Starman,/wiki/Starman_(film),Jeff Bridges,0,1984
Oscar,Actor,Under the Volcano,/wiki/Under_the_Volcano_(film),Albert Finney,0,1984
Oscar,Actor,Amadeus,/wiki/Amadeus_(film),Tom Hulce,0,1984
Oscar,Actor,The Killing Fields,/wiki/The_Killing_Fields_(film),Sam Waterston,0,1984
Oscar,Actor,Kiss of the Spider Woman,/wiki/Kiss_of_the_Spider_Woman_(film),William Hurt,1,1985
Oscar,Actor,Witness,/wiki/Witness_(1985_film),Harrison Ford,0,1985
Oscar,Actor,Murphy's Romance,/wiki/Murphy%27s_Romance,James Garner,0,1985
Oscar,Actor,Prizzi's Honor,/wiki/Prizzi%27s_Honor,Jack Nicholson,0,1985
Oscar,Actor,Runaway Train,/wiki/Runaway_Train_(film),Jon Voight,0,1985
Oscar,Actor,The Color of Money,/wiki/The_Color_of_Money,Paul Newman,1,1986
Oscar,Actor,Round Midnight,/wiki/Round_Midnight_(film),Dexter Gordon,0,1986
Oscar,Actor,Mona Lisa,/wiki/Mona_Lisa_(film),Bob Hoskins,0,1986
Oscar,Actor,Children of a Lesser God,/wiki/Children_of_a_Lesser_God,William Hurt,0,1986
Oscar,Actor,Salvador,/wiki/Salvador_(film),James Woods,0,1986
Oscar,Actor,Wall Street,/wiki/Wall_Street_(1987_film),Michael Douglas,1,1987
Oscar,Actor,Broadcast News,/wiki/Broadcast_News_(film),William Hurt,0,1987
Oscar,Actor,Dark Eyes,/wiki/Dark_Eyes_(film),Marcello Mastroianni,0,1987
Oscar,Actor,Ironweed,/wiki/Ironweed_(film),Jack Nicholson,0,1987
Oscar,Actor,"Good Morning, Vietnam","/wiki/Good_Morning,_Vietnam",Robin Williams,0,1987
Oscar,Actor,Rain Man,/wiki/Rain_Man,Dustin Hoffman,1,1988
Oscar,Actor,Mississippi Burning,/wiki/Mississippi_Burning,Gene Hackman,0,1988
Oscar,Actor,Big,/wiki/Big_(film),Tom Hanks,0,1988
Oscar,Actor,Stand and Deliver,/wiki/Stand_and_Deliver,Edward James Olmos,0,1988
Oscar,Actor,Pelle the Conqueror,/wiki/Pelle_the_Conqueror,Max von Sydow,0,1988
Oscar,Actor,My Left Foot,/wiki/My_Left_Foot,Daniel Day-Lewis,1,1989
Oscar,Actor,Henry V,/wiki/Henry_V_(1989_film),Kenneth Branagh,0,1989
Oscar,Actor,Born on the Fourth of July,/wiki/Born_on_the_Fourth_of_July_(film),Tom Cruise,0,1989
Oscar,Actor,Driving Miss Daisy,/wiki/Driving_Miss_Daisy,Morgan Freeman,0,1989
Oscar,Actor,Dead Poets Society,/wiki/Dead_Poets_Society,Robin Williams,0,1989
Oscar,Actor,Reversal of Fortune,/wiki/Reversal_of_Fortune,Jeremy Irons,1,1990
Oscar,Actor,Dances with Wolves,/wiki/Dances_with_Wolves,Kevin Costner,0,1990
Oscar,Actor,Awakenings,/wiki/Awakenings,Robert De Niro,0,1990
Oscar,Actor,Cyrano de Bergerac,/wiki/Cyrano_de_Bergerac_(1990_film),Grard Depardieu,0,1990
Oscar,Actor,The Field,/wiki/The_Field_(film),Richard Harris,0,1990
Oscar,Actor,The Silence of the Lambs,/wiki/The_Silence_of_the_Lambs_(film),Anthony Hopkins,1,1991
Oscar,Actor,Bugsy,/wiki/Bugsy,Warren Beatty,0,1991
Oscar,Actor,Cape Fear,/wiki/Cape_Fear_(1991_film),Robert De Niro,0,1991
Oscar,Actor,The Prince of Tides,/wiki/The_Prince_of_Tides,Nick Nolte,0,1991
Oscar,Actor,The Fisher King,/wiki/The_Fisher_King,Robin Williams,0,1991
Oscar,Actor,Scent of a Woman,/wiki/Scent_of_a_Woman_(1992_film),Al Pacino,1,1992
Oscar,Actor,Chaplin,/wiki/Chaplin_(film),Robert Downey Jr.,0,1992
Oscar,Actor,Unforgiven,/wiki/Unforgiven,Clint Eastwood,0,1992
Oscar,Actor,The Crying Game,/wiki/The_Crying_Game,Stephen Rea,0,1992
Oscar,Actor,Malcolm X,/wiki/Malcolm_X_(1992_film),Denzel Washington,0,1992
Oscar,Actor,Philadelphia,/wiki/Philadelphia_(film),Tom Hanks,1,1993
Oscar,Actor,In the Name of the Father,/wiki/In_the_Name_of_the_Father_(film),Daniel Day-Lewis,0,1993
Oscar,Actor,What's Love Got to Do with It,/wiki/What%27s_Love_Got_to_Do_with_It_(film),Laurence Fishburne,0,1993
Oscar,Actor,The Remains of the Day,/wiki/The_Remains_of_the_Day_(film),Anthony Hopkins,0,1993
Oscar,Actor,Schindler's List,/wiki/Schindler%27s_List,Liam Neeson,0,1993
Oscar,Actor,Forrest Gump,/wiki/Forrest_Gump,Tom Hanks,1,1994
Oscar,Actor,The Shawshank Redemption,/wiki/The_Shawshank_Redemption,Morgan Freeman,0,1994
Oscar,Actor,The Madness of King George,/wiki/The_Madness_of_King_George,Nigel Hawthorne,0,1994
Oscar,Actor,Nobody's Fool,/wiki/Nobody%27s_Fool_(1994_film),Paul Newman,0,1994
Oscar,Actor,Pulp Fiction,/wiki/Pulp_Fiction,John Travolta,0,1994
Oscar,Actor,Leaving Las Vegas,/wiki/Leaving_Las_Vegas,Nicolas Cage,1,1995
Oscar,Actor,Mr. Holland's Opus,/wiki/Mr._Holland%27s_Opus,Richard Dreyfuss,0,1995
Oscar,Actor,Nixon,/wiki/Nixon_(film),Anthony Hopkins,0,1995
Oscar,Actor,Dead Man Walking,/wiki/Dead_Man_Walking_(film),Sean Penn,0,1995
Oscar,Actor,Il Postino,/wiki/Il_Postino,Massimo Troisi,0,1995
Oscar,Actor,Shine,/wiki/Shine_(film),Geoffrey Rush,1,1996
Oscar,Actor,Jerry Maguire,/wiki/Jerry_Maguire,Tom Cruise,0,1996
Oscar,Actor,The English Patient,/wiki/The_English_Patient_(film),Ralph Fiennes,0,1996
Oscar,Actor,The People vs. Larry Flynt,/wiki/The_People_vs._Larry_Flynt,Woody Harrelson,0,1996
Oscar,Actor,Sling Blade,/wiki/Sling_Blade,Billy Bob Thornton,0,1996
Oscar,Actor,As Good as It Gets,/wiki/As_Good_as_It_Gets,Jack Nicholson,1,1997
Oscar,Actor,Good Will Hunting,/wiki/Good_Will_Hunting,Matt Damon,0,1997
Oscar,Actor,The Apostle,/wiki/The_Apostle,Robert Duvall,0,1997
Oscar,Actor,Ulee's Gold,/wiki/Ulee%27s_Gold,Peter Fonda,0,1997
Oscar,Actor,Wag the Dog,/wiki/Wag_the_Dog,Dustin Hoffman,0,1997
Oscar,Actor,Life Is Beautiful,/wiki/Life_Is_Beautiful,Roberto Benigni,1,1998
Oscar,Actor,Saving Private Ryan,/wiki/Saving_Private_Ryan,Tom Hanks,0,1998
Oscar,Actor,Gods and Monsters,/wiki/Gods_and_Monsters_(film),Ian McKellen,0,1998
Oscar,Actor,Affliction,/wiki/Affliction_(film),Nick Nolte,0,1998
Oscar,Actor,American History X,/wiki/American_History_X,Edward Norton,0,1998
Oscar,Actor,American Beauty,/wiki/American_Beauty_(1999_film),Kevin Spacey,1,1999
Oscar,Actor,The Insider,/wiki/The_Insider_(film),Russell Crowe,0,1999
Oscar,Actor,The Straight Story,/wiki/The_Straight_Story,Richard Farnsworth,0,1999
Oscar,Actor,Sweet and Lowdown,/wiki/Sweet_and_Lowdown,Sean Penn,0,1999
Oscar,Actor,The Hurricane,/wiki/The_Hurricane_(1999_film),Denzel Washington,0,1999
Oscar,Actor,Gladiator,/wiki/Gladiator_(2000_film),Russell Crowe,1,2000
Oscar,Actor,Before Night Falls,/wiki/Before_Night_Falls_(film),Javier Bardem,0,2000
Oscar,Actor,Cast Away,/wiki/Cast_Away,Tom Hanks,0,2000
Oscar,Actor,Pollock,/wiki/Pollock_(film),Ed Harris,0,2000
Oscar,Actor,Quills,/wiki/Quills,Geoffrey Rush,0,2000
Oscar,Actor,Training Day,/wiki/Training_Day,Denzel Washington,1,2001
Oscar,Actor,A Beautiful Mind,/wiki/A_Beautiful_Mind_(film),Russell Crowe,0,2001
Oscar,Actor,I Am Sam,/wiki/I_Am_Sam,Sean Penn,0,2001
Oscar,Actor,Ali,/wiki/Ali_(film),Will Smith,0,2001
Oscar,Actor,In the Bedroom,/wiki/In_the_Bedroom,Tom Wilkinson,0,2001
Oscar,Actor,The Pianist,/wiki/The_Pianist_(2002_film),Adrien Brody,1,2002
Oscar,Actor,Adaptation,/wiki/Adaptation_(film),Nicolas Cage,0,2002
Oscar,Actor,The Quiet American,/wiki/The_Quiet_American_(2002_film),Michael Caine,0,2002
Oscar,Actor,Gangs of New York,/wiki/Gangs_of_New_York,Daniel Day-Lewis,0,2002
Oscar,Actor,About Schmidt,/wiki/About_Schmidt,Jack Nicholson,0,2002
Oscar,Actor,Mystic River,/wiki/Mystic_River_(film),Sean Penn,1,2003
Oscar,Actor,Pirates of the Caribbean: The Curse of the Black Pearl,/wiki/Pirates_of_the_Caribbean:_The_Curse_of_the_Black_Pearl,Johnny Depp,0,2003
Oscar,Actor,House of Sand and Fog,/wiki/House_of_Sand_and_Fog_(film),Ben Kingsley,0,2003
Oscar,Actor,Cold Mountain,/wiki/Cold_Mountain_(film),Jude Law,0,2003
Oscar,Actor,Lost in Translation,/wiki/Lost_in_Translation_(film),Bill Murray,0,2003
Oscar,Actor,Ray,/wiki/Ray_(film),Jamie Foxx,1,2004
Oscar,Actor,Hotel Rwanda,/wiki/Hotel_Rwanda,Don Cheadle,0,2004
Oscar,Actor,Finding Neverland,/wiki/Finding_Neverland_(film),Johnny Depp,0,2004
Oscar,Actor,The Aviator,/wiki/The_Aviator_(2004_film),Leonardo DiCaprio,0,2004
Oscar,Actor,Million Dollar Baby,/wiki/Million_Dollar_Baby,Clint Eastwood,0,2004
Oscar,Actor,Capote,/wiki/Capote_(film),Philip Seymour Hoffman,1,2005
Oscar,Actor,Hustle and Flow,/wiki/Hustle_%26_Flow,Terrence Howard,0,2005
Oscar,Actor,Brokeback Mountain,/wiki/Brokeback_Mountain,Heath Ledger,0,2005
Oscar,Actor,Walk the Line,/wiki/Walk_the_Line,Joaquin Phoenix,0,2005
Oscar,Actor,"Good Night, and Good Luck","/wiki/Good_Night,_and_Good_Luck",David Strathairn,0,2005
Oscar,Actor,The Last King of Scotland,/wiki/The_Last_King_of_Scotland_(film),Forest Whitaker,1,2006
Oscar,Actor,Blood Diamond,/wiki/Blood_Diamond,Leonardo DiCaprio,0,2006
Oscar,Actor,Half Nelson,/wiki/Half_Nelson_(film),Ryan Gosling,0,2006
Oscar,Actor,Venus,/wiki/Venus_(film),Peter O'Toole,0,2006
Oscar,Actor,The Pursuit of Happyness,/wiki/The_Pursuit_of_Happyness,Will Smith,0,2006
Oscar,Actor,There Will Be Blood,/wiki/There_Will_Be_Blood,Daniel Day-Lewis,1,2007
Oscar,Actor,Michael Clayton,/wiki/Michael_Clayton_(film),George Clooney,0,2007
Oscar,Actor,Sweeney Todd: The Demon Barber of Fleet Street,/wiki/Sweeney_Todd:_The_Demon_Barber_of_Fleet_Street_(2007_film),Johnny Depp,0,2007
Oscar,Actor,In the Valley of Elah,/wiki/In_the_Valley_of_Elah,Tommy Lee Jones,0,2007
Oscar,Actor,Eastern Promises,/wiki/Eastern_Promises,Viggo Mortensen,0,2007
Oscar,Actor,Milk,/wiki/Milk_(film),Sean Penn,1,2008
Oscar,Actor,The Visitor,/wiki/The_Visitor_(2007_drama_film),Richard Jenkins,0,2008
Oscar,Actor,Frost/Nixon,/wiki/Frost/Nixon_(film),Frank Langella,0,2008
Oscar,Actor,The Curious Case of Benjamin Button,/wiki/The_Curious_Case_of_Benjamin_Button_(film),Brad Pitt,0,2008
Oscar,Actor,The Wrestler,/wiki/The_Wrestler_(2008_film),Mickey Rourke,0,2008
Oscar,Actor,Crazy Heart,/wiki/Crazy_Heart,Jeff Bridges,1,2009
Oscar,Actor,Up in the Air,/wiki/Up_in_the_Air_(2009_film),George Clooney,0,2009
Oscar,Actor,A Single Man,/wiki/A_Single_Man,Colin Firth,0,2009
Oscar,Actor,Invictus,/wiki/Invictus_(film),Morgan Freeman,0,2009
Oscar,Actor,The Hurt Locker,/wiki/The_Hurt_Locker,Jeremy Renner,0,2009
Oscar,Actor,The King's Speech,/wiki/The_King%27s_Speech,Colin Firth,1,2010
Oscar,Actor,Biutiful,/wiki/Biutiful,Javier Bardem,0,2010
Oscar,Actor,True Grit,/wiki/True_Grit_(2010_film),Jeff Bridges,0,2010
Oscar,Actor,The Social Network,/wiki/The_Social_Network,Jesse Eisenberg,0,2010
Oscar,Actor,127 Hours,/wiki/127_Hours,James Franco,0,2010
Oscar,Actor,The Artist,/wiki/The_Artist_(film),Jean Dujardin,1,2011
Oscar,Actor,A Better Life,/wiki/A_Better_Life,Demin Bichir,0,2011
Oscar,Actor,The Descendants,/wiki/The_Descendants,George Clooney,0,2011
Oscar,Actor,Tinker Tailor Soldier Spy,/wiki/Tinker_Tailor_Soldier_Spy_(film),Gary Oldman,0,2011
Oscar,Actor,Moneyball,/wiki/Moneyball_(film),Brad Pitt,0,2011
Oscar,Actor,Lincoln,/wiki/Lincoln_(film),Daniel Day-Lewis,1,2012
Oscar,Actor,Silver Linings Playbook,/wiki/Silver_Linings_Playbook,Bradley Cooper,0,2012
Oscar,Actor,Les Misrables,/wiki/Les_Mis%C3%A9rables_(2012_film),Hugh Jackman,0,2012
Oscar,Actor,The Master,/wiki/The_Master_(2012_film),Joaquin Phoenix,0,2012
Oscar,Actor,Flight,/wiki/Flight_(2012_film),Denzel Washington,0,2012
Oscar,Actor,Dallas Buyers Club,/wiki/Dallas_Buyers_Club,Matthew McConaughey,1,2013
Oscar,Actor,American Hustle,/wiki/American_Hustle,Christian Bale,0,2013
Oscar,Actor,Nebraska,/wiki/Nebraska_(film),Bruce Dern,0,2013
Oscar,Actor,The Wolf of Wall Street,/wiki/The_Wolf_of_Wall_Street_(2013_film),Leonardo DiCaprio,0,2013
Oscar,Actor,12 Years a Slave,/wiki/12_Years_a_Slave_(film),Chiwetel Ejiofor,0,2013
Oscar,Actor,The Theory of Everything,/wiki/The_Theory_of_Everything_(2014_film),Eddie Redmayne,1,2014
Oscar,Actor,Foxcatcher,/wiki/Foxcatcher,Steve Carell,0,2014
Oscar,Actor,American Sniper,/wiki/American_Sniper,Bradley Cooper,0,2014
Oscar,Actor,The Imitation Game,/wiki/The_Imitation_Game,Benedict Cumberbatch,0,2014
Oscar,Actor,Birdman or (The Unexpected Virtue of Ignorance),/wiki/Birdman_(film),Michael Keaton,0,2014
Oscar,Actor,The Revenant,/wiki/The_Revenant_(2015_film),Leonardo DiCaprio,1,2015
Oscar,Actor,Trumbo,/wiki/Trumbo_(2015_film),Bryan Cranston,0,2015
Oscar,Actor,The Martian,/wiki/The_Martian_(film),Matt Damon,0,2015
Oscar,Actor,Steve Jobs,/wiki/Steve_Jobs_(film),Michael Fassbender,0,2015
Oscar,Actor,The Danish Girl,/wiki/The_Danish_Girl_(film),Eddie Redmayne,0,2015
Oscar,Actor,Manchester by the Sea,/wiki/Manchester_by_the_Sea_(film),Casey Affleck,0,2016
Oscar,Actor,Hacksaw Ridge,/wiki/Hacksaw_Ridge,Andrew Garfield,0,2016
Oscar,Actor,La La Land,/wiki/La_La_Land_(film),Ryan Gosling,0,2016
Oscar,Actor,Captain Fantastic,/wiki/Captain_Fantastic_(film),Viggo Mortensen,0,2016
Oscar,Actor,Fences,/wiki/Fences_(film),Denzel Washington,0,2016
BAFTA,Actor,The Trials of Oscar Wilde,/wiki/The_Trials_of_Oscar_Wilde,Peter Finch,1,1960
BAFTA,Actor,The Angry Silence,/wiki/The_Angry_Silence,Richard Attenborough,0,1960
BAFTA,Actor,Saturday Night and Sunday Morning,/wiki/Saturday_Night_and_Sunday_Morning_(film),Albert Finney,0,1960
BAFTA,Actor,The Trials of Oscar Wilde,/wiki/The_Trials_of_Oscar_Wilde,John Fraser,0,1960
BAFTA,Actor,The Entertainer,/wiki/The_Entertainer_(film),Laurence Olivier,0,1960
BAFTA,Actor,The Apartment,/wiki/The_Apartment,Jack Lemmon,1,1960
BAFTA,Actor,Crime and Punishment U.S.A.,/wiki/Crime_and_Punishment_U.S.A.,George Hamilton,0,1960
