category,name,winner,award,href,year,film
Actor,Jack Lemmon,0,Oscar,/wiki/Tribute_(1980_film),1980,Tribute
Actor,Peter O'Toole,0,Oscar,/wiki/The_Stunt_Man,1980,The Stunt Man
Actor,Henry Fonda,1,Oscar,/wiki/On_Golden_Pond_(1981_film),1981,On Golden Pond
Actor,Warren Beatty,0,Oscar,/wiki/Reds_(film),1981,Reds
Actor,Burt Lancaster,0,Oscar,/wiki/Atlantic_City_(1980_film),1981,Atlantic City
Actor,Dudley Moore,0,Oscar,/wiki/Arthur_(1981_film),1981,Arthur
Actor,Paul Newman,0,Oscar,/wiki/Absence_of_Malice,1981,Absence of Malice
Actor,Ben Kingsley,1,Oscar,/wiki/Gandhi_(film),1982,Gandhi
Actor,Dustin Hoffman,0,Oscar,/wiki/Tootsie,1982,Tootsie
Actor,Jack Lemmon,0,Oscar,/wiki/Missing_(film),1982,Missing
Actor,Paul Newman,0,Oscar,/wiki/The_Verdict,1982,The Verdict
Actor,Peter O'Toole,0,Oscar,/wiki/My_Favorite_Year,1982,My Favorite Year
Actor,Robert Duvall,1,Oscar,/wiki/Tender_Mercies,1983,Tender Mercies
Actor,Michael Caine,0,Oscar,/wiki/Educating_Rita_(film),1983,Educating Rita
Actor,Tom Conti,0,Oscar,"/wiki/Reuben,_Reuben",1983,"Reuben, Reuben"
Actor,Tom Courtenay,0,Oscar,/wiki/The_Dresser_(1983_film),1983,The Dresser
Actor,Albert Finney,0,Oscar,/wiki/The_Dresser_(1983_film),1983,The Dresser
Actor,F. Murray Abraham,1,Oscar,/wiki/Amadeus_(film),1984,Amadeus
Actor,Jeff Bridges,0,Oscar,/wiki/Starman_(film),1984,Starman
Actor,Albert Finney,0,Oscar,/wiki/Under_the_Volcano_(film),1984,Under the Volcano
Actor,Tom Hulce,0,Oscar,/wiki/Amadeus_(film),1984,Amadeus
Actor,Sam Waterston,0,Oscar,/wiki/The_Killing_Fields_(film),1984,The Killing Fields
Actor,William Hurt,1,Oscar,/wiki/Kiss_of_the_Spider_Woman_(film),1985,Kiss of the Spider Woman
Actor,Harrison Ford,0,Oscar,/wiki/Witness_(1985_film),1985,Witness
Actor,James Garner,0,Oscar,/wiki/Murphy%27s_Romance,1985,Murphy's Romance
Actor,Jack Nicholson,0,Oscar,/wiki/Prizzi%27s_Honor,1985,Prizzi's Honor
Actor,Jon Voight,0,Oscar,/wiki/Runaway_Train_(film),1985,Runaway Train
Actor,Paul Newman,1,Oscar,/wiki/The_Color_of_Money,1986,The Color of Money
Actor,Dexter Gordon,0,Oscar,/wiki/Round_Midnight_(film),1986,Round Midnight
Actor,Bob Hoskins,0,Oscar,/wiki/Mona_Lisa_(film),1986,Mona Lisa
Actor,William Hurt,0,Oscar,/wiki/Children_of_a_Lesser_God,1986,Children of a Lesser God
Actor,James Woods,0,Oscar,/wiki/Salvador_(film),1986,Salvador
Actor,Michael Douglas,1,Oscar,/wiki/Wall_Street_(1987_film),1987,Wall Street
Actor,William Hurt,0,Oscar,/wiki/Broadcast_News_(film),1987,Broadcast News
Actor,Marcello Mastroianni,0,Oscar,/wiki/Dark_Eyes_(film),1987,Dark Eyes
Actor,Jack Nicholson,0,Oscar,/wiki/Ironweed_(film),1987,Ironweed
Actor,Robin Williams,0,Oscar,"/wiki/Good_Morning,_Vietnam",1987,"Good Morning, Vietnam"
Actor,Dustin Hoffman,1,Oscar,/wiki/Rain_Man,1988,Rain Man
Actor,Gene Hackman,0,Oscar,/wiki/Mississippi_Burning,1988,Mississippi Burning
Actor,Tom Hanks,0,Oscar,/wiki/Big_(film),1988,Big
Actor,Edward James Olmos,0,Oscar,/wiki/Stand_and_Deliver,1988,Stand and Deliver
Actor,Max von Sydow,0,Oscar,/wiki/Pelle_the_Conqueror,1988,Pelle the Conqueror
Actor,Daniel Day-Lewis,1,Oscar,/wiki/My_Left_Foot,1989,My Left Foot
Actor,Kenneth Branagh,0,Oscar,/wiki/Henry_V_(1989_film),1989,Henry V
Actor,Tom Cruise,0,Oscar,/wiki/Born_on_the_Fourth_of_July_(film),1989,Born on the Fourth of July
Actor,Morgan Freeman,0,Oscar,/wiki/Driving_Miss_Daisy,1989,Driving Miss Daisy
Actor,Robin Williams,0,Oscar,/wiki/Dead_Poets_Society,1989,Dead Poets Society
Actor,Jeremy Irons,1,Oscar,/wiki/Reversal_of_Fortune,1990,Reversal of Fortune
Actor,Kevin Costner,0,Oscar,/wiki/Dances_with_Wolves,1990,Dances with Wolves
Actor,Robert De Niro,0,Oscar,/wiki/Awakenings,1990,Awakenings
Actor,Grard Depardieu,0,Oscar,/wiki/Cyrano_de_Bergerac_(1990_film),1990,Cyrano de Bergerac
Actor,Richard Harris,0,Oscar,/wiki/The_Field_(film),1990,The Field
Actor,Anthony Hopkins,1,Oscar,/wiki/The_Silence_of_the_Lambs_(film),1991,The Silence of the Lambs
Actor,Warren Beatty,0,Oscar,/wiki/Bugsy,1991,Bugsy
Actor,Robert De Niro,0,Oscar,/wiki/Cape_Fear_(1991_film),1991,Cape Fear
Actor,Nick Nolte,0,Oscar,/wiki/The_Prince_of_Tides,1991,The Prince of Tides
Actor,Robin Williams,0,Oscar,/wiki/The_Fisher_King,1991,The Fisher King
Actor,Al Pacino,1,Oscar,/wiki/Scent_of_a_Woman_(1992_film),1992,Scent of a Woman
Actor,Robert Downey Jr.,0,Oscar,/wiki/Chaplin_(film),1992,Chaplin
Actor,Clint Eastwood,0,Oscar,/wiki/Unforgiven,1992,Unforgiven
Actor,Stephen Rea,0,Oscar,/wiki/The_Crying_Game,1992,The Crying Game
Actor,Denzel Washington,0,Oscar,/wiki/Malcolm_X_(1992_film),1992,Malcolm X
Actor,Tom Hanks,1,Oscar,/wiki/Philadelphia_(film),1993,Philadelphia
Actor,Daniel Day-Lewis,0,Oscar,/wiki/In_the_Name_of_the_Father_(film),1993,In the Name of the Father
Actor,Laurence Fishburne,0,Oscar,/wiki/What%27s_Love_Got_to_Do_with_It_(film),1993,What's Love Got to Do with It
Actor,Anthony Hopkins,0,Oscar,/wiki/The_Remains_of_the_Day_(film),1993,The Remains of the Day
Actor,Liam Neeson,0,Oscar,/wiki/Schindler%27s_List,1993,Schindler's List
Actor,Tom Hanks,1,Oscar,/wiki/Forrest_Gump,1994,Forrest Gump
Actor,Morgan Freeman,0,Oscar,/wiki/The_Shawshank_Redemption,1994,The Shawshank Redemption
Actor,Nigel Hawthorne,0,Oscar,/wiki/The_Madness_of_King_George,1994,The Madness of King George
Actor,Paul Newman,0,Oscar,/wiki/Nobody%27s_Fool_(1994_film),1994,Nobody's Fool
Actor,John Travolta,0,Oscar,/wiki/Pulp_Fiction,1994,Pulp Fiction
Actor,Nicolas Cage,1,Oscar,/wiki/Leaving_Las_Vegas,1995,Leaving Las Vegas
Actor,Richard Dreyfuss,0,Oscar,/wiki/Mr._Holland%27s_Opus,1995,Mr. Holland's Opus
Actor,Anthony Hopkins,0,Oscar,/wiki/Nixon_(film),1995,Nixon
Actor,Sean Penn,0,Oscar,/wiki/Dead_Man_Walking_(film),1995,Dead Man Walking
Actor,Massimo Troisi,0,Oscar,/wiki/Il_Postino,1995,Il Postino
Actor,Geoffrey Rush,1,Oscar,/wiki/Shine_(film),1996,Shine
Actor,Tom Cruise,0,Oscar,/wiki/Jerry_Maguire,1996,Jerry Maguire
Actor,Ralph Fiennes,0,Oscar,/wiki/The_English_Patient_(film),1996,The English Patient
Actor,Woody Harrelson,0,Oscar,/wiki/The_People_vs._Larry_Flynt,1996,The People vs. Larry Flynt
Actor,Billy Bob Thornton,0,Oscar,/wiki/Sling_Blade,1996,Sling Blade
Actor,Jack Nicholson,1,Oscar,/wiki/As_Good_as_It_Gets,1997,As Good as It Gets
Actor,Matt Damon,0,Oscar,/wiki/Good_Will_Hunting,1997,Good Will Hunting
Actor,Robert Duvall,0,Oscar,/wiki/The_Apostle,1997,The Apostle
Actor,Peter Fonda,0,Oscar,/wiki/Ulee%27s_Gold,1997,Ulee's Gold
Actor,Dustin Hoffman,0,Oscar,/wiki/Wag_the_Dog,1997,Wag the Dog
Actor,Roberto Benigni,1,Oscar,/wiki/Life_Is_Beautiful,1998,Life Is Beautiful
Actor,Tom Hanks,0,Oscar,/wiki/Saving_Private_Ryan,1998,Saving Private Ryan
Actor,Ian McKellen,0,Oscar,/wiki/Gods_and_Monsters_(film),1998,Gods and Monsters
Actor,Nick Nolte,0,Oscar,/wiki/Affliction_(film),1998,Affliction
Actor,Edward Norton,0,Oscar,/wiki/American_History_X,1998,American History X
Actor,Kevin Spacey,1,Oscar,/wiki/American_Beauty_(1999_film),1999,American Beauty
Actor,Russell Crowe,0,Oscar,/wiki/The_Insider_(film),1999,The Insider
Actor,Richard Farnsworth,0,Oscar,/wiki/The_Straight_Story,1999,The Straight Story
Actor,Sean Penn,0,Oscar,/wiki/Sweet_and_Lowdown,1999,Sweet and Lowdown
Actor,Denzel Washington,0,Oscar,/wiki/The_Hurricane_(1999_film),1999,The Hurricane
Actor,Russell Crowe,1,Oscar,/wiki/Gladiator_(2000_film),2000,Gladiator
Actor,Javier Bardem,0,Oscar,/wiki/Before_Night_Falls_(film),2000,Before Night Falls
Actor,Tom Hanks,0,Oscar,/wiki/Cast_Away,2000,Cast Away
Actor,Ed Harris,0,Oscar,/wiki/Pollock_(film),2000,Pollock
Actor,Geoffrey Rush,0,Oscar,/wiki/Quills,2000,Quills
Actor,Denzel Washington,1,Oscar,/wiki/Training_Day,2001,Training Day
Actor,Russell Crowe,0,Oscar,/wiki/A_Beautiful_Mind_(film),2001,A Beautiful Mind
Actor,Sean Penn,0,Oscar,/wiki/I_Am_Sam,2001,I Am Sam
Actor,Will Smith,0,Oscar,/wiki/Ali_(film),2001,Ali
Actor,Tom Wilkinson,0,Oscar,/wiki/In_the_Bedroom,2001,In the Bedroom
Actor,Adrien Brody,1,Oscar,/wiki/The_Pianist_(2002_film),2002,The Pianist
Actor,Nicolas Cage,0,Oscar,/wiki/Adaptation_(film),2002,Adaptation
Actor,Michael Caine,0,Oscar,/wiki/The_Quiet_American_(2002_film),2002,The Quiet American
Actor,Daniel Day-Lewis,0,Oscar,/wiki/Gangs_of_New_York,2002,Gangs of New York
Actor,Jack Nicholson,0,Oscar,/wiki/About_Schmidt,2002,About Schmidt
Actor,Sean Penn,1,Oscar,/wiki/Mystic_River_(film),2003,Mystic River
Actor,Johnny Depp,0,Oscar,/wiki/Pirates_of_the_Caribbean:_The_Curse_of_the_Black_Pearl,2003,Pirates of the Caribbean: The Curse of the Black Pearl
Actor,Ben Kingsley,0,Oscar,/wiki/House_of_Sand_and_Fog_(film),2003,House of Sand and Fog
Actor,Jude Law,0,Oscar,/wiki/Cold_Mountain_(film),2003,Cold Mountain
Actor,Bill Murray,0,Oscar,/wiki/Lost_in_Translation_(film),2003,Lost in Translation
Actor,Jamie Foxx,1,Oscar,/wiki/Ray_(film),2004,Ray
Actor,Don Cheadle,0,Oscar,/wiki/Hotel_Rwanda,2004,Hotel Rwanda
Actor,Johnny Depp,0,Oscar,/wiki/Finding_Neverland_(film),2004,Finding Neverland
Actor,Leonardo DiCaprio,0,Oscar,/wiki/The_Aviator_(2004_film),2004,The Aviator
Actor,Clint Eastwood,0,Oscar,/wiki/Million_Dollar_Baby,2004,Million Dollar Baby
Actor,Philip Seymour Hoffman,1,Oscar,/wiki/Capote_(film),2005,Capote
Actor,Terrence Howard,0,Oscar,/wiki/Hustle_%26_Flow,2005,Hustle & Flow
Actor,Heath Ledger,0,Oscar,/wiki/Brokeback_Mountain,2005,Brokeback Mountain
Actor,Joaquin Phoenix,0,Oscar,/wiki/Walk_the_Line,2005,Walk the Line
Actor,David Strathairn,0,Oscar,"/wiki/Good_Night,_and_Good_Luck",2005,"Good Night, and Good Luck"
Actor,Forest Whitaker,1,Oscar,/wiki/The_Last_King_of_Scotland_(film),2006,The Last King of Scotland
Actor,Leonardo DiCaprio,0,Oscar,/wiki/Blood_Diamond,2006,Blood Diamond
Actor,Ryan Gosling,0,Oscar,/wiki/Half_Nelson_(film),2006,Half Nelson
Actor,Peter O'Toole,0,Oscar,/wiki/Venus_(film),2006,Venus
Actor,Will Smith,0,Oscar,/wiki/The_Pursuit_of_Happyness,2006,The Pursuit of Happyness
Actor,Daniel Day-Lewis,1,Oscar,/wiki/There_Will_Be_Blood,2007,There Will Be Blood
Actor,George Clooney,0,Oscar,/wiki/Michael_Clayton_(film),2007,Michael Clayton
Actor,Johnny Depp,0,Oscar,/wiki/Sweeney_Todd:_The_Demon_Barber_of_Fleet_Street_(2007_film),2007,Sweeney Todd: The Demon Barber of Fleet Street
Actor,Tommy Lee Jones,0,Oscar,/wiki/In_the_Valley_of_Elah,2007,In the Valley of Elah
Actor,Viggo Mortensen,0,Oscar,/wiki/Eastern_Promises,2007,Eastern Promises
Actor,Sean Penn,1,Oscar,/wiki/Milk_(film),2008,Milk
Actor,Richard Jenkins,0,Oscar,/wiki/The_Visitor_(2007_drama_film),2008,The Visitor
Actor,Frank Langella,0,Oscar,/wiki/Frost/Nixon_(film),2008,Frost/Nixon
Actor,Brad Pitt,0,Oscar,/wiki/The_Curious_Case_of_Benjamin_Button_(film),2008,The Curious Case of Benjamin Button
Actor,Mickey Rourke,0,Oscar,/wiki/The_Wrestler_(2008_film),2008,The Wrestler
Actor,Jeff Bridges,1,Oscar,/wiki/Crazy_Heart,2009,Crazy Heart
Actor,George Clooney,0,Oscar,/wiki/Up_in_the_Air_(2009_film),2009,Up in the Air
Actor,Colin Firth,0,Oscar,/wiki/A_Single_Man,2009,A Single Man
Actor,Morgan Freeman,0,Oscar,/wiki/Invictus_(film),2009,Invictus
Actor,Jeremy Renner,0,Oscar,/wiki/The_Hurt_Locker,2009,The Hurt Locker
Actor,Colin Firth,1,Oscar,/wiki/The_King%27s_Speech,2010,The King's Speech
Actor,Javier Bardem,0,Oscar,/wiki/Biutiful,2010,Biutiful
Actor,Jeff Bridges,0,Oscar,/wiki/True_Grit_(2010_film),2010,True Grit
Actor,Jesse Eisenberg,0,Oscar,/wiki/The_Social_Network,2010,The Social Network
Actor,James Franco,0,Oscar,/wiki/127_Hours,2010,127 Hours
Actor,Jean Dujardin,1,Oscar,/wiki/The_Artist_(film),2011,The Artist
Actor,Demin Bichir,0,Oscar,/wiki/A_Better_Life,2011,A Better Life
Actor,George Clooney,0,Oscar,/wiki/The_Descendants,2011,The Descendants
Actor,Gary Oldman,0,Oscar,/wiki/Tinker_Tailor_Soldier_Spy_(film),2011,Tinker Tailor Soldier Spy
Actor,Brad Pitt,0,Oscar,/wiki/Moneyball_(film),2011,Moneyball
Actor,Daniel Day-Lewis,1,Oscar,/wiki/Lincoln_(film),2012,Lincoln
Actor,Bradley Cooper,0,Oscar,/wiki/Silver_Linings_Playbook,2012,Silver Linings Playbook
Actor,Hugh Jackman,0,Oscar,/wiki/Les_Mis%C3%A9rables_(2012_film),2012,Les Misrables
Actor,Joaquin Phoenix,0,Oscar,/wiki/The_Master_(2012_film),2012,The Master
Actor,Denzel Washington,0,Oscar,/wiki/Flight_(2012_film),2012,Flight
Actor,Matthew McConaughey,1,Oscar,/wiki/Dallas_Buyers_Club,2013,Dallas Buyers Club
Actor,Christian Bale,0,Oscar,/wiki/American_Hustle,2013,American Hustle
Actor,Bruce Dern,0,Oscar,/wiki/Nebraska_(film),2013,Nebraska
Actor,Leonardo DiCaprio,0,Oscar,/wiki/The_Wolf_of_Wall_Street_(2013_film),2013,The Wolf of Wall Street
Actor,Chiwetel Ejiofor,0,Oscar,/wiki/12_Years_a_Slave_(film),2013,12 Years a Slave
Actor,Eddie Redmayne,1,Oscar,/wiki/The_Theory_of_Everything_(2014_film),2014,The Theory of Everything
Actor,Steve Carell,0,Oscar,/wiki/Foxcatcher,2014,Foxcatcher
