category,name,winner,award,href,year,film,fti_id
Actor,Jack Nicholson,0,Oscar,/wiki/Prizzi%27s_Honor,1985,Prizzi's Honor,129
Actor,Jon Voight,0,Oscar,/wiki/Runaway_Train_(film),1985,Runaway Train,130
Actor,Paul Newman,1,Oscar,/wiki/The_Color_of_Money,1986,The Color of Money,131
Actor,Dexter Gordon,0,Oscar,/wiki/Round_Midnight_(film),1986,Round Midnight,132
Actor,Bob Hoskins,0,Oscar,/wiki/Mona_Lisa_(film),1986,Mona Lisa,133
Actor,William Hurt,0,Oscar,/wiki/Children_of_a_Lesser_God,1986,Children of a Lesser God,134
Actor,James Woods,0,Oscar,/wiki/Salvador_(film),1986,Salvador,135
Actor,Michael Douglas,1,Oscar,/wiki/Wall_Street_(1987_film),1987,Wall Street,136
Actor,William Hurt,0,Oscar,/wiki/Broadcast_News_(film),1987,Broadcast News,137
Actor,Marcello Mastroianni,0,Oscar,/wiki/Dark_Eyes_(film),1987,Dark Eyes,138
Actor,Jack Nicholson,0,Oscar,/wiki/Ironweed_(film),1987,Ironweed,139
Actor,Robin Williams,0,Oscar,"/wiki/Good_Morning,_Vietnam",1987,"Good Morning, Vietnam",140
Actor,Dustin Hoffman,1,Oscar,/wiki/Rain_Man,1988,Rain Man,141
Actor,Gene Hackman,0,Oscar,/wiki/Mississippi_Burning,1988,Mississippi Burning,142
Actor,Tom Hanks,0,Oscar,/wiki/Big_(film),1988,Big,143
Actor,Edward James Olmos,0,Oscar,/wiki/Stand_and_Deliver,1988,Stand and Deliver,144
Actor,Max von Sydow,0,Oscar,/wiki/Pelle_the_Conqueror,1988,Pelle the Conqueror,145
Actor,Daniel Day-Lewis,1,Oscar,/wiki/My_Left_Foot,1989,My Left Foot,146
Actor,Kenneth Branagh,0,Oscar,/wiki/Henry_V_(1989_film),1989,Henry V,147
Actor,Tom Cruise,0,Oscar,/wiki/Born_on_the_Fourth_of_July_(film),1989,Born on the Fourth of July,148
Actor,Morgan Freeman,0,Oscar,/wiki/Driving_Miss_Daisy,1989,Driving Miss Daisy,149
Actor,Robin Williams,0,Oscar,/wiki/Dead_Poets_Society,1989,Dead Poets Society,150
Actor,Jeremy Irons,1,Oscar,/wiki/Reversal_of_Fortune,1990,Reversal of Fortune,151
Actor,Kevin Costner,0,Oscar,/wiki/Dances_with_Wolves,1990,Dances with Wolves,152
Actor,Robert De Niro,0,Oscar,/wiki/Awakenings,1990,Awakenings,153
Actor,Grard Depardieu,0,Oscar,/wiki/Cyrano_de_Bergerac_(1990_film),1990,Cyrano de Bergerac,154
Actor,Richard Harris,0,Oscar,/wiki/The_Field_(film),1990,The Field,155
Actor,Anthony Hopkins,1,Oscar,/wiki/The_Silence_of_the_Lambs_(film),1991,The Silence of the Lambs,156
Actor,Warren Beatty,0,Oscar,/wiki/Bugsy,1991,Bugsy,157
Actor,Robert De Niro,0,Oscar,/wiki/Cape_Fear_(1991_film),1991,Cape Fear,158
Actor,Nick Nolte,0,Oscar,/wiki/The_Prince_of_Tides,1991,The Prince of Tides,159
Actor,Robin Williams,0,Oscar,/wiki/The_Fisher_King,1991,The Fisher King,160
Actor,Al Pacino,1,Oscar,/wiki/Scent_of_a_Woman_(1992_film),1992,Scent of a Woman,161
Actor,Robert Downey Jr.,0,Oscar,/wiki/Chaplin_(film),1992,Chaplin,162
Actor,Clint Eastwood,0,Oscar,/wiki/Unforgiven,1992,Unforgiven,163
Actor,Stephen Rea,0,Oscar,/wiki/The_Crying_Game,1992,The Crying Game,164
Actor,Denzel Washington,0,Oscar,/wiki/Malcolm_X_(1992_film),1992,Malcolm X,165
Actor,Tom Hanks,1,Oscar,/wiki/Philadelphia_(film),1993,Philadelphia,166
Actor,Daniel Day-Lewis,0,Oscar,/wiki/In_the_Name_of_the_Father_(film),1993,In the Name of the Father,167
Actor,Laurence Fishburne,0,Oscar,/wiki/What%27s_Love_Got_to_Do_with_It_(film),1993,What's Love Got to Do with It,168
Actor,Anthony Hopkins,0,Oscar,/wiki/The_Remains_of_the_Day_(film),1993,The Remains of the Day,169
Actor,Liam Neeson,0,Oscar,/wiki/Schindler%27s_List,1993,Schindler's List,170
Actor,Tom Hanks,1,Oscar,/wiki/Forrest_Gump,1994,Forrest Gump,171
Actor,Morgan Freeman,0,Oscar,/wiki/The_Shawshank_Redemption,1994,The Shawshank Redemption,172
Actor,Nigel Hawthorne,0,Oscar,/wiki/The_Madness_of_King_George,1994,The Madness of King George,173
Actor,Paul Newman,0,Oscar,/wiki/Nobody%27s_Fool_(1994_film),1994,Nobody's Fool,174
Actor,John Travolta,0,Oscar,/wiki/Pulp_Fiction,1994,Pulp Fiction,175
