award,category,film,href,name,winner,year
Oscar,Adapted Screenplay,In the Name of the Father,/wiki/In_the_Name_of_the_Father_(film),Terry George,0,1993
Oscar,Adapted Screenplay,The Remains of the Day,/wiki/The_Remains_of_the_Day_(film),Ruth Prawer Jhabvala,0,1993
Oscar,Adapted Screenplay,Shadowlands,/wiki/Shadowlands_(1993_film),William Nicholson,0,1993
Oscar,Adapted Screenplay,Forrest Gump,/wiki/Forrest_Gump,Eric Roth,1,1994
Oscar,Adapted Screenplay,The Madness of King George,/wiki/The_Madness_of_King_George,Alan Bennett,0,1994
Oscar,Adapted Screenplay,Nobody's Fool,/wiki/Nobody%27s_Fool_(1994_film),Robert Benton,0,1994
Oscar,Adapted Screenplay,Quiz Show,/wiki/Quiz_Show_(film),Paul Attanasio,0,1994
Oscar,Adapted Screenplay,The Shawshank Redemption,/wiki/The_Shawshank_Redemption,Frank Darabont,0,1994
Oscar,Adapted Screenplay,Sense and Sensibility,/wiki/Sense_and_Sensibility_(film),Emma Thompson,1,1995
Oscar,Adapted Screenplay,Apollo 13,/wiki/Apollo_13_(film),William Broyles Jr.,0,1995
Oscar,Adapted Screenplay,Babe,/wiki/Babe_(film),George Miller,0,1995
Oscar,Adapted Screenplay,Leaving Las Vegas,/wiki/Leaving_Las_Vegas,Mike Figgis,0,1995
Oscar,Adapted Screenplay,Il Postino,/wiki/Il_Postino:_The_Postman,Anna Pavignano,0,1995
Oscar,Adapted Screenplay,Sling Blade,/wiki/Sling_Blade,Billy Bob Thornton,1,1996
Oscar,Adapted Screenplay,The Crucible,/wiki/The_Crucible_(1996_film),Arthur Miller,0,1996
Oscar,Adapted Screenplay,The English Patient,/wiki/The_English_Patient_(film),Anthony Minghella,0,1996
Oscar,Adapted Screenplay,Hamlet,/wiki/Hamlet_(1996_film),Kenneth Branagh,0,1996
Oscar,Adapted Screenplay,Trainspotting,/wiki/Trainspotting_(film),John Hodge,0,1996
Oscar,Adapted Screenplay,L.A. Confidential,/wiki/L.A._Confidential_(film),Curtis Hanson,1,1997
Oscar,Adapted Screenplay,Donnie Brasco,/wiki/Donnie_Brasco_(film),Paul Attanasio,0,1997
Oscar,Adapted Screenplay,The Sweet Hereafter,/wiki/The_Sweet_Hereafter_(film),Atom Egoyan,0,1997
Oscar,Adapted Screenplay,Wag the Dog,/wiki/Wag_the_Dog,Hilary Henkin,0,1997
Oscar,Adapted Screenplay,The Wings of the Dove,/wiki/The_Wings_of_the_Dove_(1997_film),Hossein Amini,0,1997
Oscar,Adapted Screenplay,Gods and Monsters,/wiki/Gods_and_Monsters_(film),Bill Condon,1,1998
Oscar,Adapted Screenplay,Out of Sight,/wiki/Out_of_Sight,Scott Frank,0,1998
Oscar,Adapted Screenplay,Primary Colors,/wiki/Primary_Colors_(film),Elaine May,0,1998
Oscar,Adapted Screenplay,A Simple Plan,/wiki/A_Simple_Plan_(film),Scott Smith,0,1998
Oscar,Adapted Screenplay,The Thin Red Line,/wiki/The_Thin_Red_Line_(1998_film),Terrence Malick,0,1998
Oscar,Adapted Screenplay,The Cider House Rules,/wiki/The_Cider_House_Rules_(film),John Irving,1,1999
Oscar,Adapted Screenplay,Election,/wiki/Election_(1999_film),Alexander Payne,0,1999
Oscar,Adapted Screenplay,The Green Mile,/wiki/The_Green_Mile_(film),Frank Darabont,0,1999
