year,category,film,name,BAFTA,Golden Globe,Guild,Oscar,running_time,box_office,imdb_score,rt_audience_score,rt_critic_score,stars_count,writers_count,produced_USA,R,PG,PG13,G,q1_release,q2_release,q3_release,q4_release
1988,Actor,Stand and Deliver,Edward James Olmos,0.0,0.0,0.0,0.0,102,13994920.0,7.3,79.0,73.0,4.0,2.0,1,0,1,0,0,1,0,0,0
1989,Actor,My Left Foot,Daniel Day-Lewis,1.0,0.0,0.0,1.0,103,14700000.0,7.9,92.0,97.0,9.0,1.0,0,1,0,0,0,1,0,0,0
1989,Actor,Henry V,Kenneth Branagh,0.0,0.0,0.0,0.0,137,10200000.0,7.7,89.0,100.0,8.0,1.0,0,0,0,1,0,0,0,0,1
1989,Actor,Born on the Fourth of July,Tom Cruise,0.0,1.0,0.0,0.0,145,161000000.0,7.2,76.0,90.0,6.0,1.0,1,1,0,0,0,1,0,0,0
1989,Actor,Driving Miss Daisy,Morgan Freeman,0.0,1.0,0.0,0.0,100,145800000.0,7.4,81.0,82.0,5.0,1.0,1,0,1,0,0,1,0,0,0
1989,Actor,Dead Poets Society,Robin Williams,0.0,0.0,0.0,0.0,128,235800000.0,8.0,92.0,85.0,1.0,1.0,1,0,1,0,0,0,1,0,0
1990,Actor,Reversal of Fortune,Jeremy Irons,0.0,1.0,0.0,1.0,111,15400000.0,7.3,77.0,94.0,3.0,1.0,1,1,0,0,0,0,0,0,1
1990,Actor,Dances with Wolves,Kevin Costner,0.0,0.0,0.0,0.0,181,424200000.0,8.0,87.0,82.0,4.0,1.0,1,0,0,1,0,0,0,0,1
1990,Actor,Awakenings,Robert De Niro,0.0,0.0,0.0,0.0,121,52100000.0,7.8,89.0,88.0,6.0,1.0,1,0,0,1,0,1,0,0,0
1990,Actor,Cyrano de Bergerac,Grard Depardieu,0.0,0.0,0.0,0.0,137,41300000.0,7.6,91.0,100.0,4.0,1.0,0,0,1,0,0,0,0,0,1
1990,Actor,The Field,Richard Harris,0.0,0.0,0.0,0.0,107,1400000.0,7.4,81.0,43.0,6.0,1.0,0,0,0,1,0,1,0,0,0
1991,Actor,The Silence of the Lambs,Anthony Hopkins,1.0,0.0,0.0,1.0,118,272700000.0,8.6,95.0,95.0,4.0,1.0,1,1,0,0,0,1,0,0,0
1991,Actor,Bugsy,Warren Beatty,0.0,0.0,0.0,0.0,137,49100000.0,6.8,69.0,85.0,5.0,1.0,1,1,0,0,0,0,0,0,1
1991,Actor,Cape Fear,Robert De Niro,0.0,0.0,0.0,0.0,128,182300000.0,7.3,77.0,76.0,6.0,1.0,1,1,0,0,0,0,0,0,1
1991,Actor,The Prince of Tides,Nick Nolte,0.0,1.0,0.0,0.0,132,110000000.0,6.7,70.0,73.0,7.0,1.0,1,1,0,0,0,0,0,0,1
1991,Actor,The Fisher King,Robin Williams,0.0,1.0,0.0,0.0,137,41900000.0,7.6,86.0,82.0,4.0,1.0,1,1,0,0,0,0,0,1,0
1992,Actor,Scent of a Woman,Al Pacino,0.0,1.0,0.0,1.0,156,134100000.0,8.0,92.0,88.0,2.0,1.0,1,1,0,0,0,1,0,0,0
1992,Actor,Chaplin,Robert Downey Jr.,1.0,0.0,0.0,0.0,143,9500000.0,7.6,81.0,57.0,15.0,3.0,0,0,0,1,0,1,0,0,0
